Ticker,currentPrice,priceToBook
A,118.77,6.9233456
AAL,12.68,
AAP,173.48,3.610556
AAPL,136.72,32.881195
ABBV,153.89,16.698133
ABC,141.62,53.888885
ABT,108.75,5.3791366
ACN,277.835,8.215352
ADBE,366.06,12.354788
ADI,146.09,2.046881
ADM,77.52,1.8398006
ADP,210.04,20.94953
ADSK,171.96,54.799236
AEE,90.39,2.380062
AEP,95.94,2.070886
AES,21.02,6.3639116
AFL,55.35,1.2097303
AIG,51.15,0.73805267
AIV,6.4,1.8768328
AIZ,173.09,1.880003
AJG,163.24,3.8146427
AKAM,91.33,3.4092352
ALB,209.26,4.206062
ALGN,236.67,5.0862865
ALK,40.06,1.3888023
ALL,126.65,1.6455747
ALLE,97.77,11.575893
AMAT,90.98,6.835462
AMD,76.47,2.2388453
AME,109.89,3.6606817
AMG,116.68,1.7575465
AMGN,243.3,141.86589
AMP,238.05,5.2335935
AMT,255.915,21.772589
AMZN,106.21,8.06148
ANSS,239.29,4.769488
ANTM,482.58,3.2347322
AON,269.68,48.78437
AOS,54.68,4.7158256
APA,34.9,
APD,240.48,3.8216925
APH,64.38,5.982159
APTV,89.07,2.8740604
ARE,145.03,1.3826998
ARNC,28.09,1.9208151
ATVI,77.86,3.413116
AVB,194.25,2.4714055
AVGO,485.81,9.408905
AVY,161.9,6.8709416
AWK,148.77,3.6245587
AXP,138.69,4.678203
AYI,154.04,2.5162532
AZO,2149.12,
BA,136.72,
BAC,31.13,1.048007
BAX,64.23,3.563187
BBY,65.19,5.2913966
BDX,246.53,2.8657615
BEN,23.31,1.010666
BHF,41.02,0.24264868
BIIB,203.94,2.6757107
BK,41.75,0.91246855
BLK,609.04,2.4649107
BMY,77,5.191128
BSX,37.27,3.1835654
BWA,33.37,1.1339926
BXP,88.98,2.3862264
C,45.99,0.49972838
CAG,34.24,1.8725733
CAH,52.27,
CAT,178.76,5.586948
CB,196.58,1.4689442
CBOE,113.67,3.3836398
CCI,168.38,9.072687
CCL,8.65,0.9554843
CDNS,150.03,14.98951
CERN,94.92,7.139526
CF,85.73,4.47723
CFG,35.69,0.752636
CHD,92.66,6.608187
CHK,81.1,1.9141805
CHRW,101.37,6.1924253
CHTR,468.53,6.5213094
CI,263.52,1.8222933
CINF,118.98,1.5772729
CL,80.14,209.24283
CLX,140.98,43.37846
CMA,73.38,1.4442891
CMCSA,39.24,1.8569874
CME,204.7,2.6467547
CMG,1307.26,17.143045
CMI,193.53,3.2369373
CMS,67.5,2.953531
CNC,84.61,1.8213718
CNP,29.58,2.032431
COF,104.19,0.8071926
COO,313.12,2.2009783
COP,89.81,2.3601913
COST,479.28,10.633653
COTY,8.01,1.8680037
CPB,48.05,4.2484527
CRM,165.04,2.7863786
CSCO,42.64,4.379172
CSX,29.06,4.7922163
CTAS,373.53,11.614017
CTSH,67.49,2.9367735
CTXS,97.17,18.41736
CVS,92.66,1.6391008
CVX,144.78,1.9454709
D,79.81,2.5148888
DAL,28.97,6.1809263
DE,299.47,4.841797
DFS,94.58,2.1470082
DG,245.44,9.345467
DGX,132.98,2.4398208
DHI,66.19,1.3887374
DHR,253.52,4.212765
DIS,94.4,1.8778596
DISH,17.93,0.5937873
DLR,129.83,2.1783192
DLTR,155.85,4.2642555
DOV,121.32,4.039422
DRE,54.95,3.3836207
DRI,113.12,6.220512
DTE,126.75,2.7706733
DUK,107.21,1.738503
DVA,79.96,9.024831
DVN,55.11,3.9151747
DXC,30.31,1.425682
EA,121.65,4.4679914
EBAY,41.67,3.3729963
ECL,153.76,6.2022505
ED,95.1,1.6520455
EFX,182.78,5.8303027
EIX,63.24,1.7513639
EL,254.67,14.817595
EMN,89.77,1.9625288
EMR,79.54,4.467034
EOG,110.44,3.0028007
EQIX,657.02,5.464556
EQR,72.22,2.5196247
EQT,34.4,1.5504575
ES,84.47,1.9633229
ESS,261.51,2.8680632
ETN,125.99,3.0246794
ETR,112.64,1.9541646
EW,95.09,10.109504
EXC,45.32,1.8910911
EXPD,97.46,4.246808
EXPE,94.83,7.1683426
EXR,170.12,7.114419
F,11.13,0.9945492
FAST,49.92,9.144531
FB,161.25,3.551371
FBHS,59.88,2.6872504
FCX,29.26,2.85798
FDX,226.71,2.372635
FE,38.39,2.5034235
FFIV,153.04,3.8602595
FIS,91.67,1.1910453
FISV,88.97,1.8407333
FITB,33.6,1.2760139
FL,25.25,0.74288744
FLR,24.34,2.353055
FLS,28.63,2.126727
FMC,107.01,4.4055166
FOX,29.7,1.480042
FOXA,32.16,1.6026312
FRT,95.74,3.073614
FTI,6.73,0.87801695
FTV,54.38,2.0383837
GD,221.25,3.4042654
GE,63.67,1.7969632
GILD,61.81,3.8928077
GIS,75.45,4.6302543
GLW,31.51,2.1023486
GM,31.76,0.76720536
GOOG,2187.45,5.673186
GOOGL,2179.26,5.651945
GPC,133,5.238489
GPN,110.64,1.2376115
GPS,8.24,1.2390977
GRMN,98.25,3.0365312
GS,297.02,0.93244463
GT,10.71,0.58791244
GWW,454.43,11.15905
HAL,31.36,4.0267076
HAS,81.88,3.7483976
HBAN,12.03,1.0630965
HBI,10.29,4.6040273
HCA,168.06,
HCP,29.44,4.321151
HD,274.27,
HES,105.94,5.200275
HIG,65.43,1.3903823
HII,217.82,3.0951772
HLT,111.44,
HOG,31.66,1.8596182
HOLX,69.3,3.6054316
HON,173.81,6.4426565
HP,43.06,1.6580032
HPE,13.26,0.83892196
HPQ,32.78,
HRB,35.32,125.693954
HRL,47.36,3.5235474
HSIC,76.74,2.9420333
HST,15.68,1.7191098
HSY,215.16,15.172415
HUM,468.07,3.864993
IBM,141.19,6.6661944
ICE,94.04,2.3191695
IDXX,350.73,46.136543
IFF,119.12,1.4499775
ILMN,184.36,2.6566756
INCY,75.97,4.3540807
INTC,37.41,1.4831702
INTU,385.44,6.4191856
IP,41.83,1.7443705
IPG,27.53,3.1079252
IQV,216.99,6.939683
IR,42.08,1.9018351
IRM,48.69,18.669477
ISRG,200.71,5.9520774
IT,241.83,166.3205
ITW,182.25,15.850582
IVZ,16.13,0.6475311
JBHT,157.47,5.071498
JCI,47.88,2.0143037
JNJ,177.51,6.2474923
JNPR,28.5,2.1561506
JPM,112.61,1.3069566
JWN,21.13,5.757493
K,71.34,6.3514953
KEY,17.23,1.1981919
KHC,38.14,0.9411242
KIM,19.77,1.2204458
KLAC,319.08,11.681066
KMB,135.15,64.60325
KMI,16.76,1.2411138
KMX,90.48,2.6740751
KO,62.91,10.965661
KR,47.33,3.6209931
KSS,35.69,1.0252211
L,59.26,0.8809538
LEG,34.58,2.7641888
LEN,70.57,0.9471975
LH,234.36,2.0307612
LKQ,49.09,2.4163222
LLL,1.26,0.21323405
LLY,324.23,31.278217
LMT,429.96,11.391781
LNC,46.77,0.54644877
LNT,58.61,2.419002
LOW,174.67,
LRCX,426.15,9.808276
LUV,36.12,2.0560107
LYB,87.46,2.256741
M,18.32,1.5074468
MA,315.48,43.695293
MAA,174.67,3.4030821
MAC,8.71,0.6275668
MAR,136.01,25.121904
MAS,50.6,
MAT,22.33,4.8649235
MCD,246.88,
MCHP,58.08,5.4632683
MCK,326.21,
MCO,271.97,20.964312
MDLZ,62.09,3.050806
MDT,89.75,2.2727273
MET,62.79,0.94804543
MGM,28.95,2.4608977
MHK,124.09,0.9521288
MKC,83.25,4.853945
MLM,299.24,2.9044812
MMC,155.25,7.1274447
MMM,129.41,4.9325356
MNST,92.7,7.150019
MO,41.77,
MON,9.82,
MOS,47.23,1.4690971
MPC,82.21,1.8690462
MRK,91.17,5.638219
MRO,22.48,1.4181175
MS,76.06,1.4038131
MSFT,256.83,11.795801
MSI,209.6,
MTB,159.39,1.2758344
MTD,1148.77,308.0638
MU,55.28,1.2917397
NAVI,13.99,0.7368587
NCLH,11.12,3.0914652
NDAQ,152.54,4.1727757
NEE,77.46,4.2402015
NEM,59.67,2.206078
NFLX,174.87,4.428322
NI,29.49,2.1156466
NKE,102.2,10.513322
NLSN,23.22,2.4522123
NOC,478.57,5.603733
NOV,16.91,1.3430228
NRG,38.17,1.815285
NSC,227.29,4.024256
NTAP,65.24,17.127855
NTRS,96.48,1.9101925
NUE,104.41,1.8270426
NVDA,151.59,14.422034
NWL,19.04,1.9891351
NWS,15.89,1.1074715
NWSA,15.58,1.0858656
O,68.26,1.6101714
OKE,55.5,4.1353106
OMC,63.61,4.3625264
ORCL,69.87,
ORLY,631.76,
OXY,58.88,3.6435645
PAYX,113.87,12.510437
PCAR,82.34,2.3574884
PCG,9.98,0.92725074
PDCO,30.3,2.8344247
PEG,63.28,2.3128655
PEP,166.66,12.665096
PFE,52.43,3.5565054
PFG,66.79,1.4157923
PG,143.79,7.729814
PGR,116.27,4.1071744
PH,246.05,3.5252738
PHM,39.63,1.2809905
PKG,137.5,3.379541
PKI,142.22,2.4963577
PLD,117.65,2.5531683
PM,98.74,
PNC,157.77,1.4823271
PNR,45.77,3.0235171
PNW,73.12,1.3931866
PPG,114.34,4.3432345
PPL,27.13,1.4397155
PRGO,40.57,1.0697993
PRU,95.68,0.8173796
PSA,312.67,10.242409
PSX,81.99,1.8081774
PVH,56.9,0.7282175
PWR,125.34,3.5074854
PX,11.12,3.3253586
PXD,223.08,2.280562
PYPL,69.84,3.9355345
QCOM,127.74,10.75343
QRVO,94.32,2.202092
RCL,34.91,2.2312412
RE,280.28,1.1604644
REG,59.31,1.6574447
REGN,591.13,3.18818
RF,18.75,1.1415526
RHI,74.89,5.6185756
RJF,89.41,2.1609147
RL,89.65,2.4710586
RMD,209.63,9.351385
ROK,199.31,8.803446
ROP,394.65,3.0843115
ROST,70.23,6.06896
RRC,24.75,3.7437603
RSG,130.87,4.600323
SBAC,320.05,
SBUX,76.39,
SCHW,63.18,3.2015812
SEE,57.72,44.297775
SHW,223.91,25.936522
SIG,53.46,1.9779488
SJM,128.01,1.6741431
SLB,35.76,3.2934241
SLG,46.15,0.6570331
SNA,197.03,2.4464834
SNPS,303.7,8.348223
SO,71.31,2.6776059
SPG,94.92,9.706513
SPGI,337.06,2.8856642
SRCL,43.85,1.6986907
SRE,150.27,1.8824695
STT,61.65,0.93338376
STX,71.44,36.579624
STZ,233.06,3.7276478
SWK,104.86,1.8124622
SWKS,92.64,2.8870604
SYF,27.62,1.1023308
SYK,198.93,4.9997487
SYY,84.71,32.60585
T,20.96,0.8876842
TAP,54.51,0.874132
TDG,536.67,
TEL,113.15,3.498114
TGT,141.23,6.0780683
TJX,55.85,11.706141
TMO,543.28,5.19274
TPR,30.52,3.0313866
TRIP,17.8,3.2393084
TROW,113.61,2.8517997
TRV,169.13,1.5898815
TSCO,193.85,12.136865
TSN,86.06,1.6364328
TXN,153.65,10.106558
TXT,61.07,1.9048657
UA,7.58,2.0234916
UAA,8.33,2.2237053
UAL,35.42,3.1932924
UDR,46.04,4.3785067
UHS,100.71,1.2765876
ULTA,385.48,11.49143
UNH,513.63,6.6280828
UNM,34.02,0.6464731
UNP,213.28,11.262013
UPS,182.54,10.349245
URI,242.91,2.8694112
USB,46.02,1.5405216
V,196.89,12.435419
VFC,44.17,4.8581166
VLO,106.28,2.3045232
VMC,142.1,2.8720996
VNO,28.59,1.0958642
VRSK,173.09,10.342993
VRSN,167.33,
VRTX,281.79,6.603009
VTR,51.43,1.9212523
VZ,50.75,2.5444975
WAT,330.98,53.29791
WBA,37.9,1.2260611
WDC,44.83,1.170863
WEC,100.64,2.8234766
WFC,39.17,0.92879325
WHR,154.87,1.9295316
WM,152.98,8.890567
WMB,31.21,3.3667743
WMT,121.58,4.344781
WRK,39.84,0.8922133
WU,16.47,18.079033
WY,33.12,2.411709
WYNN,56.98,
XEL,70.76,2.4492056
XL,1.15,0.4711184
XOM,85.64,2.1319923
XRAY,35.73,1.580414
XRX,14.85,0.5495929
XYL,78.18,4.402771
YUM,113.51,
ZBH,105.06,1.8326762
ZION,50.9,1.3159596
ZTS,171.89,17.388973
